,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,subs_rank,channel_views_rank
792,AM3NlC,14000000,4959982720,Gaming,AM3NlC,5757,Brazil,BR,People,45,49,10210000,2600,40800,30600,490100,0,2012,Dec,15,51.3,212559417,12.08,183241641,-14.235004,-51.92528,687,687
793,Narins Beauty,14000000,2214167846,Howto & Style,Narins Beauty,431,Sweden,SE,Entertainment,3,156,13709000,3400,54800,41100,658000,0,2014,Sep,24,67,10285453,6.48,9021165,60.128161,18.643501,899,899
794,TV Ana Emilia,14000000,4674164601,People & Blogs,TV Ana Emilia,651,Mexico,MX,Entertainment,29,156,26783000,6700,107100,80300,1300000,100000,2014,Dec,30,40.2,126014024,3.42,102626859,23.634501,-102.552784,706,706
795,ýýýýýýýýýýýý,14000000,7719743112,Gaming,ýýýýýýýýýýýý,2210,Russia,RU,Games,12,56,150570000,37600,602300,451700,7200000,200000,2013,Oct,26,81.9,144373535,4.59,107683889,61.52401,105.318756,501,501
796,Luli Pampï¿½,14000000,8623705301,Music,Luli Pampï¿½,294,Spain,ES,Music,15,136,201659000,50400,806600,605000,9700000,100000,2012,Dec,22,88.9,47076781,13.96,37927409,40.463667,-3.74922,451,451
797,Gallina Pintadita,14000000,9660950823,Music,Gallina Pintadita,62,Mexico,MX,Film,29,40,70626000,17700,282500,211900,3400000,0,2011,Aug,2,40.2,126014024,3.42,102626859,23.634501,-102.552784,394,394
798,ViralHog,14000000,18917687143,People & Blogs,ViralHog,41117,United States,US,Animals,159,3,1364000000,340900,5500000,4100000,65500000,1100000,2014,Aug,22,88.2,328239523,14.7,270663028,37.09024,-95.712891,138,138
799,ETV Jabardasth,14000000,13542939513,People & Blogs,ETV Jabardasth,9652,India,IN,Comedy,111,34,133584000,33400,534300,400800,6400000,100000,2015,Jul,14,28.1,1366417754,5.36,471031528,20.593684,78.96288,251,251
800,Zee Telugu,14000000,12597067132,Entertainment,zeetelugu,3,India,IN,Music,4651,4603,7,0,0.03,0.02,0.34,0,2007,Jan,31,28.1,1366417754,5.36,471031528,20.593684,78.96288,282,282
801,Crescendo com Luluca,14000000,5094050461,Entertainment,Crescendo com Luluca,1307,Brazil,BR,People,44,48,68058000,17000,272200,204200,3300000,100000,2015,Aug,30,51.3,212559417,12.08,183241641,-14.235004,-51.92528,675,675
802,Jazzghost,13900000,5673347763,Gaming,Jazzghost,5494,Brazil,BR,Games,46,57,106718000,26700,426900,320200,5100000,100000,2012,Aug,30,51.3,212559417,12.08,183241641,-14.235004,-51.92528,635,635
803,karameeshchannel,13900000,9106781518,Entertainment,karameeshchannel,2254,Jordan,JO,Music,3,137,87639000,21900,350600,262900,4200000,100000,2012,Jan,18,34.4,10101694,14.72,9213048,30.585164,36.238414,422,422
804,Darkar Company Studios,13900000,2244318380,Film & Animation,Darkar Company Studios,183,United States,US,Comedy,161,35,4598000,1100,18400,13800,220700,0,2009,Feb,15,88.2,328239523,14.7,270663028,37.09024,-95.712891,893,893
